time;gain
0,048;51,39
0,149;50,47
0,249;50,47
0,350;50,47
0,450;49,25
0,551;49,25
0,651;49,25
0,752;54,56
0,853;54,56
0,954;54,56
1,055;52,82
1,156;52,82
1,257;52,82
1,357;52,90
1,458;52,90
1,559;52,90
1,660;52,57
1,760;52,57
1,861;52,57
1,962;52,22
2,062;52,22
2,163;52,22
2,264;82,54
2,364;82,54
2,465;82,54
2,566;66,83
2,666;66,83
2,767;66,83
2,868;52,42
2,969;52,42
3,070;52,42
3,170;52,62
3,271;52,62
3,372;52,62
3,473;53,54
3,573;53,54
3,674;53,54
3,775;49,12
3,876;49,12
3,977;49,12
4,078;52,66
4,178;52,66
4,279;52,66
4,380;52,00
4,481;52,00
4,581;52,00
4,682;50,14
4,783;50,14
4,884;50,14
4,985;52,91
5,085;52,91
5,186;52,91
5,287;52,05
5,388;52,05
5,488;52,05
5,589;50,13
5,690;50,13
5,790;50,13
5,891;73,42
5,992;73,42
6,093;73,42
6,193;59,43
6,294;59,43
6,395;59,43
6,496;52,84
6,597;52,84
6,697;52,84
6,798;50,11
6,899;50,11
6,999;50,11
7,100;50,12
7,200;50,12
7,301;50,12
7,402;49,55
7,502;49,55
7,603;49,55
7,704;51,23
7,805;51,23
7,906;51,23
8,007;46,50
8,107;46,50
8,208;46,50
8,308;49,72
8,409;49,72
8,510;49,72
