time;gain
0,028;59,73
0,129;59,73
0,229;59,73
0,330;58,15
0,430;58,15
0,531;58,15
0,633;70,14
0,734;70,14
0,835;70,14
0,936;64,73
1,036;64,73
1,137;64,73
1,238;59,73
1,339;59,73
1,440;59,73
1,541;56,77
1,642;56,77
1,743;56,77
1,844;63,48
1,945;63,48
2,046;63,48
2,146;61,20
2,248;61,20
2,349;61,20
2,449;69,90
2,550;69,90
2,651;69,90
2,752;62,62
2,853;62,62
2,954;62,62
3,055;60,45
3,156;60,45
3,257;60,45
3,358;59,85
3,458;59,85
3,559;59,85
3,660;61,41
3,761;61,41
3,862;61,41
3,964;59,92
4,065;59,92
4,165;59,92
4,266;60,23
4,367;60,23
4,468;60,23
4,569;63,73
4,670;63,73
4,771;63,73
4,874;62,17
4,975;62,17
5,076;62,17
5,177;63,34
5,278;63,34
5,379;63,34
5,480;65,64
5,581;65,64
5,682;65,64
5,782;63,25
5,883;63,25
5,984;61,17
6,085;61,17
6,185;61,17
6,286;59,65
6,387;59,65
6,488;59,65
6,589;76,78
6,689;76,78
6,790;76,78
6,890;64,24
6,991;64,24
7,092;64,24
7,193;58,32
7,294;58,32
7,395;58,32
7,496;57,67
7,596;57,67
7,697;57,67
7,798;59,94
7,899;59,94
8,000;59,94
8,101;61,54
8,202;61,54
8,303;61,54
8,404;61,59
8,505;61,59
8,606;61,59
8,706;60,01
8,808;60,01
8,909;60,01
9,009;57,65
9,110;57,65
9,211;57,65
9,312;60,57
9,413;60,57
9,514;60,57
9,614;59,55
9,715;59,55
9,816;59,55
9,917;57,40
10,018;57,40
10,119;57,40
10,220;60,31
10,321;60,31
10,422;60,31
10,523;60,97
10,624;60,97
10,724;60,97
10,825;58,47
10,926;58,47
11,027;58,47
11,128;96,75
11,229;96,75
11,329;96,75
11,430;73,93
11,531;73,93
11,632;73,93
11,733;52,99
11,834;52,99
11,935;52,99
12,036;48,97
12,137;48,97
12,237;48,97
12,338;46,16
12,439;46,16
12,540;46,16
12,641;50,46
12,742;50,46
12,842;50,46
12,943;46,92
13,044;46,92
13,145;46,92
13,246;50,51
13,346;50,51
13,447;50,51
13,548;46,85
13,649;46,85
13,750;46,85
13,851;48,13
13,952;48,13
14,052;48,13
14,153;44,30
14,254;44,30
14,355;44,30
14,456;43,75
14,557;43,75
14,658;43,75
14,758;51,14
14,859;51,14
14,961;51,14
15,061;57,14
15,162;57,14
15,262;57,14
15,363;51,88
